gene,embryo,channel,source_type,sigma_dog,threshold_dog,min_intensity,max_intensity,final_detections,full_path
BEAF32,BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10,CH1_633nm,combined_file,1.8,0.01001,0.0,5475.0,1933,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10_RSFISH_LOG.txt
BEAF32,BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10,CH2_555nm,combined_file,1.8,0.01001,0.0,10326.0,4554,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10_RSFISH_LOG.txt
BEAF32,BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10,CH3_488nm,combined_file,1.8,0.01573,0.0,5487.0,2062,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_10_hb-Airyscan Processing-10-Channel Alignment (Extended)-10_RSFISH_LOG.txt
BEAF32,BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11,CH1_633nm,per_channel_file,1.8,0.002786,0.0,10508.0,1270,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11_CH1_633nm_RSFISH_LOG.txt
BEAF32,BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11,CH2_555nm,combined_file,1.8,0.01001,0.0,22943.0,712,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11_RSFISH_LOG.txt
BEAF32,BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11,CH3_488nm,combined_file,1.8,0.01573,0.0,5063.0,924,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_11_hr-Airyscan Processing-11-Channel Alignment (Extended)-11_RSFISH_LOG.txt
BEAF32,BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12,CH1_633nm,per_channel_file,1.8,0.002786,0.0,9629.0,4691,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12_CH1_633nm_RSFISH_LOG.txt
BEAF32,BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12,CH2_555nm,combined_file,1.8,0.01001,0.0,22979.0,1900,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12_RSFISH_LOG.txt
BEAF32,BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12,CH3_488nm,combined_file,1.8,0.01573,0.0,5644.0,2416,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_12_rh-Airyscan Processing-12-Channel Alignment (Extended)-12_RSFISH_LOG.txt
BEAF32,BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13,CH1_633nm,combined_file,1.8,0.01001,0.0,8577.0,1284,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13_RSFISH_LOG.txt
BEAF32,BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13,CH2_555nm,combined_file,1.8,0.01001,0.0,23075.0,3695,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13_RSFISH_LOG.txt
BEAF32,BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13,CH3_488nm,combined_file,1.8,0.01573,0.0,6321.0,3514,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_13_hb-Airyscan Processing-13-Channel Alignment (Extended)-13_RSFISH_LOG.txt
BEAF32,BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01,CH1_633nm,combined_file,1.8,0.01001,0.0,10366.0,1873,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01_RSFISH_LOG.txt
BEAF32,BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01,CH2_555nm,combined_file,1.8,0.01001,0.0,40031.0,2159,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01_RSFISH_LOG.txt
BEAF32,BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01,CH3_488nm,combined_file,1.8,0.01573,0.0,11504.0,2056,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_1_RH-Airyscan Processing-01-Channel Alignment (Extended)-01_RSFISH_LOG.txt
BEAF32,BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02,CH1_633nm,per_channel_file,1.8,0.002786,0.0,28948.0,2923,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02_CH1_633nm_RSFISH_LOG.txt
BEAF32,BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02,CH2_555nm,combined_file,1.8,0.01001,0.0,49569.0,1438,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02_RSFISH_LOG.txt
BEAF32,BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02,CH3_488nm,combined_file,1.8,0.01573,0.0,12369.0,2197,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_2_RH-Airyscan Processing-02-Channel Alignment (Extended)-02_RSFISH_LOG.txt
BEAF32,BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03,CH1_633nm,per_channel_file,1.8,0.002786,0.0,27935.0,4130,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03_CH1_633nm_RSFISH_LOG.txt
BEAF32,BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03,CH2_555nm,combined_file,1.8,0.01001,0.0,65533.0,752,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03_RSFISH_LOG.txt
BEAF32,BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03,CH3_488nm,combined_file,1.8,0.01573,0.0,11242.0,2806,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_3_DH-Airyscan Processing-03-Channel Alignment (Extended)-03_RSFISH_LOG.txt
BEAF32,BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04,CH1_633nm,combined_file,1.8,0.01001,0.0,20426.0,531,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04_RSFISH_LOG.txt
BEAF32,BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04,CH2_555nm,combined_file,1.8,0.01001,0.0,53414.0,1145,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04_RSFISH_LOG.txt
BEAF32,BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04,CH3_488nm,combined_file,1.8,0.01573,0.0,15651.0,1689,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_4_RH-Airyscan Processing-04-Channel Alignment (Extended)-04_RSFISH_LOG.txt
BEAF32,BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05,CH1_633nm,per_channel_file,1.8,0.002786,0.0,65535.0,1031,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05_CH1_633nm_RSFISH_LOG.txt
BEAF32,BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05,CH2_555nm,combined_file,1.8,0.01001,0.0,65533.0,889,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05_RSFISH_LOG.txt
BEAF32,BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05,CH3_488nm,combined_file,1.8,0.01573,0.0,12250.0,3307,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_5_HL-Airyscan Processing-05-Channel Alignment (Extended)-05_RSFISH_LOG.txt
BEAF32,BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06,CH1_633nm,combined_file,1.8,0.01001,0.0,20039.0,549,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06_RSFISH_LOG.txt
BEAF32,BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06,CH2_555nm,combined_file,1.8,0.01001,0.0,46608.0,2150,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06_RSFISH_LOG.txt
BEAF32,BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06,CH3_488nm,combined_file,1.8,0.01573,0.0,10697.0,3177,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_6_rh-Airyscan Processing-06-Channel Alignment (Extended)-06_RSFISH_LOG.txt
BEAF32,BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07,CH1_633nm,combined_file,1.8,0.01001,0.0,20497.0,570,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07_RSFISH_LOG.txt
BEAF32,BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07,CH2_555nm,combined_file,1.8,0.01001,0.0,34745.0,2305,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07_RSFISH_LOG.txt
BEAF32,BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07,CH3_488nm,combined_file,1.8,0.01573,0.0,12474.0,2002,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_7_hu-Airyscan Processing-07-Channel Alignment (Extended)-07_RSFISH_LOG.txt
BEAF32,BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08,CH1_633nm,combined_file,1.8,0.01001,0.0,11384.0,2190,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08_RSFISH_LOG.txt
BEAF32,BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08,CH2_555nm,combined_file,1.8,0.01001,0.0,34431.0,2989,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08_RSFISH_LOG.txt
BEAF32,BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08,CH3_488nm,combined_file,1.8,0.01573,0.0,11641.0,2006,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_8_lh-Airyscan Processing-08-Channel Alignment (Extended)-08_RSFISH_LOG.txt
BEAF32,BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09,CH1_633nm,combined_file,1.8,0.01001,0.0,16330.0,1936,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09_RSFISH_LOG.txt
BEAF32,BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09,CH2_555nm,combined_file,1.8,0.01001,0.0,33150.0,4821,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09_RSFISH_LOG.txt
BEAF32,BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09,CH3_488nm,combined_file,1.8,0.01573,0.0,11131.0,2964,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\BEAF32_9_rh_ventral-Airyscan Processing-09-Channel Alignment (Extended)-09_RSFISH_LOG.txt
BEAF32,Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29,CH1_633nm,combined_file,1.8,0.01001,0.0,10587.0,856,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29_RSFISH_LOG.txt
BEAF32,Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29,CH2_555nm,combined_file,1.8,0.01001,0.0,12429.0,6234,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29_RSFISH_LOG.txt
BEAF32,Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29,CH3_488nm,combined_file,1.8,0.01573,0.0,6418.0,12591,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_14_HB-Airyscan Processing-26-Channel Alignment (Extended)-29_RSFISH_LOG.txt
BEAF32,Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30,CH1_633nm,per_channel_file,1.8,0.002786,0.0,23467.0,3410,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30_CH1_633nm_RSFISH_LOG.txt
BEAF32,Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30,CH2_555nm,combined_file,1.8,0.01001,0.0,31387.0,2882,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30_RSFISH_LOG.txt
BEAF32,Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30,CH3_488nm,combined_file,1.8,0.01573,0.0,8932.0,4721,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_15_hb-Airyscan Processing-27-Channel Alignment (Extended)-30_RSFISH_LOG.txt
BEAF32,Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28,CH1_633nm,combined_file,1.8,0.01001,0.0,13767.0,812,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28_RSFISH_LOG.txt
BEAF32,Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28,CH2_555nm,combined_file,1.8,0.01001,0.0,11368.0,16078,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28_RSFISH_LOG.txt
BEAF32,Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28,CH3_488nm,combined_file,1.8,0.01573,0.0,8074.0,4057,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Beaf32_16_HR-Airyscan Processing-25-Channel Alignment (Extended)-28_RSFISH_LOG.txt
Blimp1,Blimp1_10_HR-Airyscan Processing-378-Channel Alignment (Extended)-383,CH1_633nm,combined_file,1.5,0.007506,0.0,6726.0,10849,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_10_HR-Airyscan Processing-378-Channel Alignment (Extended)-383_RSFISH_LOG.txt
